"name","est","target"
"A1BG",895.8458,1639
"A1CF",4.057401,2
"A2BP1",NA,10
"A2LD1",NA,389
"A2M",37695.49502,71775
"A2ML1",147.80903,349
"A2MP1",55,NA
"A3GALT2",2,NA
"A4GALT",950.36909,1677
"A4GNT",1,0
"AAA1",NA,0
"AAAS",2757.99971464,4902
"AACS",1970.10566,3457
"AACSL",NA,405
"AACSP1",222.99993,NA
"AADAC",68.99999,166
"AADACL2",1.6092621,0
"AADACL3",1,0
"AADACL4",0,0
"AADACP1",10.00000505,NA
"AADAT",87.6831,180
"AAGAB",2420.00515,4598
"AAK1",1722.86794,3512
"AAMDC",1092.88116,NA
"AAMP",6087.00472,11008
"AANAT",1.02148,0
"AAR2",4193.998,NA
"AARD",953.7314,NA
"AARS",4101.53128,7751
"AARS2",1272.02,2817
"AARSD1",1225.11971,2473
"AARSP1",0,NA
"AASDH",284.99989,542
"AASDHPPT",2785.0007,5315
"AASS",381.098178,1064
"AATF",2426.99508,4533
"AATK",273.171857,169
"ABAT",1979.65077,3655
"ABBA01000935.1",0,NA
"ABBA01000935.2",0,NA
"ABBA01006766.1",0,NA
"ABBA01026962.1",0,NA
"ABBA01045074.1",0,NA
"ABBA01045074.2",0,NA
"ABCA1",1730,3382
"ABCA10",65.23462,157
"ABCA11P",243.0192,623
"ABCA12",2965,5598
"ABCA13",41.27496,175
"ABCA17P",19.035,16
"ABCA2",4201.3286,7815
"ABCA3",2226.00694,4143
"ABCA4",1335.99999,2534
"ABCA5",392.20258,709
"ABCA6",281.03639,442
"ABCA7",1749.0009295,3209
"ABCA8",248.5274371,587
"ABCA9",225.47998,439
"ABCB1",328.15301,620
"ABCB10",772.92166,1488
"ABCB10P1",0,NA
"ABCB10P3",0.112879,NA
"ABCB10P4",0,NA
"ABCB11",44.9058,9
"ABCB4",156.84687,285
"ABCB5",31.77485,262
"ABCB6",614.85786,2346
"ABCB7",964.59627628287,1337
"ABCB8",1957.529620005,3535
"ABCB9",619.645363,1201
"ABCC1",2577.33673,4896
"ABCC10",1016.72853,1832
"ABCC11",169.074011721,303
"ABCC12",22.00001,26
"ABCC13",4.14473,33
"ABCC2",145.43927,177
"ABCC3",669.18582,1314
"ABCC4",423.343410060331,784
"ABCC5",8476.11088,16118
"ABCC6",449.1015,816
"ABCC6P1",86.2894,102
"ABCC6P2",66.86088824993,159
"ABCC8",85.0579866001,113
"ABCC9",3132.95978,13165
"ABCD1",1280.9459,2336
"ABCD1P2",0,NA
"ABCD1P3",0,NA
"ABCD1P4",0,NA
"ABCD1P5",4.05771,NA
"ABCD2",80,105
"ABCD3",2988.47959912,5744
"ABCD4",1575.93249,2600
"ABCE1",2453.20165,4804
"ABCF1",3111.13789828704,5743
"ABCF2",2463.80115,4680
"ABCF2P1",0,NA
"ABCF2P2",0,NA
"ABCF3",2719.78789,5045
"ABCG1",3208.809659877,6228
"ABCG2",101,190
"ABCG4",12,24
"ABCG5",14.016,24
"ABCG8",124.7804,2
"ABHD1",122.48248,325
"ABHD10",2133.99596,4178
"ABHD11",7208.80060052077,14356
"ABHD11-AS1",366.65806,NA
"ABHD12",6218.98315,11571
"ABHD12B",584.2375535022,455
"ABHD13",930,1833
"ABHD14A",1259.5022,2207
"ABHD14A-ACY1",28.43364,NA
"ABHD14B",4713.95957,8969
"ABHD15",1296.03,2015
"ABHD16A",2485.3905268,NA
"ABHD16B",300,NA
"ABHD17A",2442.9698,NA
"ABHD17AP1",9.26675,NA
"ABHD17AP3",1.37342,NA
"ABHD17AP4",4.387,NA
"ABHD17AP5",0,NA
"ABHD17AP6",0,NA
"ABHD17AP7",0,NA
"ABHD17AP8",0,NA
"ABHD17AP9",1,NA
"ABHD17B",489.0258,NA
"ABHD17C",1120,NA
"ABHD18",396.2385,NA
"ABHD2",2321.82970092992,4885
"ABHD3",3692.2129,7239
"ABHD4",3669.99637,6640
"ABHD5",1436.64201,2812
"ABHD6",851.69218,1615
"ABHD8",388.468,776
"ABI1",3561.56312301346,6875
"ABI1P1",0,NA
"ABI2",2480.876621,4551
"ABI3",807.00002,1495
"ABI3BP",806.26945,1491
"ABITRAM",1573.9992,NA
"ABITRAMP1",0,NA
"ABL1",3428.9966,6366
"ABL2",1958.94358,4245
"ABLIM1",3321.99723,6484
"ABLIM2",152.00001,268
"ABLIM3",796.99927,1519
"ABO",154.282,60
"ABP1",NA,258
"ABR",3850.48005418654,7293
"ABRA",1.00108,12
"ABRACL",1687,NA
"ABRAXAS1",401.79,NA
"ABRAXAS2",1018,NA
"ABT1",1884.96,3662
"ABT1P1",0,NA
"ABTB1",961.99947,1541
"ABTB2",130,229
"AC000041.1",0,NA
"AC000077.1",0,NA
"AC000078.1",2,NA
"AC000081.1",0,NA
"AC000089.1",14.6161,NA
"AC000093.1",5.871124564,NA
"AC000095.1",0,NA
"AC000095.2",0,NA
"AC000095.3",2,NA
"AC000111.1",0,NA
"AC000111.2",0,NA
"AC000120.2",25.9942,NA
"AC000120.3",0,NA
"AC000362.1",0,NA
"AC000367.1",9.00118,NA
"AC000374.1",0,NA
"AC001226.2",58.92748,NA
"AC002056.1",0,NA
"AC002056.3",0,NA
"AC002059.3",4,NA
"AC002069.3",0,NA
"AC002069.4",0,NA
"AC002075.1",0,NA
"AC002075.2",0,NA
"AC002076.2",0,NA
"AC002094.3",0,NA
"AC002127.1",0,NA
"AC002310.3",0,NA
"AC002310.4",4.12607,NA
"AC002366.1",0,NA
"AC002367.1",3.02553,NA
"AC002381.1",0,NA
"AC002400.1",0,NA
"AC002429.1",0,NA
"AC002456.2",0,NA
