"Gene.name","SUM(est_counts)"
"A1BG",895.8458
"A1CF",4.057401
"A2M",37695.49502
"A2ML1",147.80903
"A2MP1",55
"A3GALT2",2
"A4GALT",950.36909
"A4GNT",1
"AAAS",2757.99971464
"AACS",1970.10566
"AACSP1",222.99993
"AADAC",68.99999
"AADACL2",1.6092621
"AADACL3",1
"AADACL4",0
"AADACP1",10.00000505
"AADAT",87.6831
"AAGAB",2420.00515
"AAK1",1722.86794
"AAMDC",1092.88116
"AAMP",6087.00472
"AANAT",1.02148
"AAR2",4193.998
"AARD",953.7314
"AARS",4101.53128
"AARS2",1272.02
"AARSD1",1225.11971
"AARSP1",0
"AASDH",284.99989
"AASDHPPT",2785.0007
"AASS",381.098178
"AATF",2426.99508
"AATK",273.171857
"ABAT",1979.65077
"ABBA01000935.1",0
"ABBA01000935.2",0
"ABBA01006766.1",0
"ABBA01026962.1",0
"ABBA01045074.1",0
"ABBA01045074.2",0
"ABCA1",1730
"ABCA10",65.23462
"ABCA11P",243.0192
"ABCA12",2965
"ABCA13",41.27496
"ABCA17P",19.035
"ABCA2",4201.3286
"ABCA3",2226.00694
"ABCA4",1335.99999
"ABCA5",392.20258
"ABCA6",281.03639
"ABCA7",1749.0009295
"ABCA8",248.5274371
"ABCA9",225.47998
"ABCB1",328.15301
"ABCB10",772.92166
"ABCB10P1",0
"ABCB10P3",0.112879
"ABCB10P4",0
"ABCB11",44.9058
"ABCB4",156.84687
"ABCB5",31.77485
"ABCB6",614.85786
"ABCB7",964.59627628287
"ABCB8",1957.529620005
"ABCB9",619.645363
"ABCC1",2577.33673
"ABCC10",1016.72853
"ABCC11",169.074011721
"ABCC12",22.00001
"ABCC13",4.14473
"ABCC2",145.43927
"ABCC3",669.18582
"ABCC4",423.343410060331
"ABCC5",8476.11088
"ABCC6",449.1015
"ABCC6P1",86.2894
"ABCC6P2",66.86088824993
"ABCC8",85.0579866001
"ABCC9",3132.95978
"ABCD1",1280.9459
"ABCD1P2",0
"ABCD1P3",0
"ABCD1P4",0
"ABCD1P5",4.05771
"ABCD2",80
"ABCD3",2988.47959912
"ABCD4",1575.93249
"ABCE1",2453.20165
"ABCF1",3111.13789828704
"ABCF2",2463.80115
"ABCF2P1",0
"ABCF2P2",0
