ram1,ram2
4200,3260
4180,7448
4448,21564
4300,23496
5096,20776
4476,11792
4700,17888
4132,21400
4232,11564
4296,23352
4488,8808
4200,12408
4132,3624
4800,26980
4288,9448
4696,43428
4252,7660
4980,64484
4564,14284
4524,7752
4128,4388
4336,5524
4348,14204
4528,26352
4260,3476
4416,48812
4332,14204
4208,6336
4124,4028
4400,5336
4560,16148
4648,43296
15948,43736
4092,2932
6404,11808
4364,4296
9104,20912
4204,4500
13324,35088
4724,44672
4228,3860
13752,37496
4196,3228
4100,3164
25644,73036
4432,11532
15212,41804
4136,3256
33092,99496
4344,9644
28108,92132
4552,17156
4208,3428
106396,325140
4340,5128
4196,9368
4732,43276
4288,4100
4524,17688
4420,7116
6600,11060
4252,10072
4376,4408
6996,14164
4588,19056
23428,82644
4580,15068
4988,90720
4692,32020
4264,3232
4096,3144
4376,15804
4488,18612
4736,14304
4460,10108
4460,16372
4144,3716
4196,3380
4364,5844
4252,6672
4380,9552
4192,3196
4608,21196
4288,8784
4616,13212
4280,6684
4940,28764
4404,15796
4412,6568
4256,3768
4124,3280
4336,9524
4272,12824
4184,3188
4156,3388
4408,6436
4380,3520
4096,3512
4412,7072
4544,18384
4292,7716
4272,3784
4440,13104
4132,3616
4424,14228
4608,16600
4472,9408
4888,24456
4332,6008
4292,3280
4556,8364
4340,6564
4408,6168
5508,90564
4840,32340
4256,5760
4632,13936
5240,110940
4260,20644
4912,41380
4328,6580
4396,15656
4504,75328
4572,20012
4504,55140
4688,42684
4324,4300
4268,3180
4364,16616
4620,36520
4392,7264
4224,7676
4792,13492
4612,27488
4440,18736
4636,20812
5032,79492
5428,72700
4136,3360
4984,33564
4252,7964
4684,17020
4228,5976
6208,495964
5696,320048
4284,14312
4280,4276
4176,4196
4456,22932
5208,48120
4820,29564
4712,19888
4320,4932
4692,20956
4192,10704
4196,3136
4444,7668
4340,5456
4348,9956
4396,5980
4140,8712
17532,47396
4460,10796
4428,5296
9200,20684
4292,3436
57224,177628
4636,7104
4304,8768
4136,3168
4492,7924
4264,6944
11844,64692
4344,7112
8844,21152
4352,5012
57484,235412
4268,7024
44228,187644
4344,3696
5044,13768
4244,3360
20124,74104
4112,3184
38756,103776
4216,4760
31032,113188
4164,9904
14164,85472
4344,5076
7392,15680
4668,22072
4984,73220
4552,18816
4284,3788
7028,15308
4576,13744
4392,4972
21176,65476
4484,5932
4708,10120
46044,159248
4204,3212
4560,4740
4236,4604
81180,244032
4228,3244
59212,173560
4292,7720
31736,140844
4244,3340
17828,52464
4192,3236
20396,57604
4500,12852
4248,3248
8700,18028
4192,3196
6968,19188
4180,5444
4332,3376
8716,17752
4312,3112
13288,36004
4552,10172
4496,12364
4548,7292
11044,47804
4336,15912
4316,4600
12384,65908
4704,20920
25232,143600
4332,4108
35880,113296
4296,3064
53788,162872
4248,7236
4764,17572
4212,3144
4396,9176
4908,29596
4376,10380
4196,10520
4436,4640
16208,49160
4224,3816
6964,17416
4324,3916
7036,18736
4556,8088
41224,140328
5052,46148
4476,7152
7560,23292
4188,3776
5244,10676
4376,4112
4960,32572
4252,3024
4092,3016
8404,19536
4304,3700
4100,3172
