ram1,ram2
4200,1968
4180,1960
4448,2064
4300,2080
5096,2240
4476,1908
4700,2120
4132,2064
4232,1948
4296,2040
4488,1896
4200,1964
4132,1896
4800,2340
4288,1944
4696,2300
4252,1860
4980,2468
4564,2116
4524,2124
4128,1864
4336,1864
4348,2004
4528,2012
4260,1880
4416,2280
4332,1976
4208,1916
4124,1924
4560,2104
4724,2084
4552,2008
4196,2036
4732,2204
4288,1996
4524,2024
4988,2572
4692,2228
4264,1904
4096,1928
4376,2156
4488,2040
4736,2148
4460,2028
4460,2056
4144,1800
4196,1848
4364,1944
4252,1944
4380,1964
4192,1824
4608,2224
4288,1864
4616,1984
4280,1856
4940,2400
4404,2164
4412,1960
4256,1868
4124,1844
4336,1968
4272,2040
4184,1764
4156,1928
4408,1996
4380,1948
4096,1876
4412,2052
4544,2028
4292,2060
4272,2008
4440,2044
4132,1916
4424,2040
4608,2064
4472,1920
4888,2248
4332,1892
4292,1840
4556,2140
4340,2056
4408,1952
5508,2816
4840,2460
4256,1960
4632,2156
5240,2860
4260,1972
4912,2648
4328,1880
4396,2076
4504,2720
4572,2344
4504,2640
4688,2152
4324,1840
4268,1900
4364,2064
4620,2452
4392,1944
4224,1864
4792,2172
4612,2492
4440,2084
4636,2496
5032,2856
5428,3084
4136,1928
4984,2236
4252,1916
4684,2432
4228,2100
6208,3936
5696,2636
4284,2012
4280,1884
4176,1984
4456,2116
5208,2664
4820,2404
4712,2424
4320,1864
4196,1904
4444,2256
4340,1984
4396,1932
4984,3040
4496,2092
4212,1908
4396,1960
4908,2564
4376,1864
4960,2784
4252,1828
4228,1952
4264,1936
4680,2052
4604,2448
4500,2272
4152,1920
4096,1888
4100,1936
4628,2304
4344,1928
4152,1844
4628,2288
4496,2160
4308,2008
4636,2376
4460,1952
5332,3084
4116,1848
4400,1904
4192,1876
4728,2308
4236,2008
5080,2564
4468,2112
4140,1924
4180,1852
4220,1880
4352,2068
4892,2444
5096,2528
4768,2772
5828,3064
5848,3376
5704,3628
4860,2728
4772,2564
4972,2624
6280,4968
4972,2620
6728,3992
4580,2316
5220,2748
5540,3236
5264,3152
4560,2344
4688,2392
5464,3784
4960,2460
4964,2908
4472,2264
6152,3424
5180,2976
4540,2368
5472,2936
5424,3216
5600,3416
5352,3216
5280,2840
4216,1984
4228,2016
4920,2452
4484,2140
4312,2088
5024,2836
6020,3876
4712,2396
5956,3620
4416,2072
5292,3304
5584,3500
6916,4348
4120,1864
4148,1968
4952,2956
5088,2740
4716,2576
4468,2460
4848,2524
4360,2032
4556,2140
5372,3364
4260,2032
4488,2228
4764,2316
4680,2420
4132,1900
4376,2032
5316,3484
4832,2376
4780,2640
4468,2068
5144,2584
5204,2984
4440,2272
4296,1884
4936,2924
4720,2268
4752,2704
4692,2432
4272,1964
4232,1968
4544,2276
4372,2136
4232,2108
4772,2476
4304,2204
4332,2012
5124,3020
4308,1992
5488,2724
5268,2784
4756,2492
6092,3756
5436,3232
6036,3800
6036,3672
5868,3700
5152,2916
4548,2032
5724,3360
4320,2232
6132,4084
4976,2844
5480,3048
7408,4140
4688,2384
5148,2380
4980,2760
4676,2220
5440,3004
4964,2704
4636,2580
5212,3044
4572,2204
5044,2984
6732,3928
4732,2412
5508,3464
4408,2120
5752,3664
6340,4412
6100,3588
4504,2372
5356,3308
5824,3184
5056,2956
5176,2692
4372,2060
4404,1912
4804,2860
4300,2052
5664,3236
4764,2704
4936,2680
5340,3148
4536,2592
4368,2024
4156,1900
4372,2152
4820,2980
4708,2328
4352,1996
5120,2652
4408,2068
5104,2696
4896,2564
4480,2140
5184,2936
4348,1892
5068,2932
5560,3312
4976,2604
5560,3584
6628,4436
4952,2436
6044,3952
4808,2576
4876,2472
6540,3828
4976,2388
5088,2892
4148,1992
6052,4284
5056,2492
5096,2480
4640,2308
7488,5612
4780,2648
4660,2724
4684,2620
5500,3236
5824,3964
4728,2808
4992,2684
9416,7020
5932,3452
4444,2264
5840,3292
7608,5160
4924,2564
4612,2308
4800,2692
4920,2904
5128,2904
5060,3044
5144,2772
6284,3988
4948,2696
5000,2872
6012,4112
7116,4780
6440,3616
6124,4584
5176,2784
4776,2552
4832,2252
4536,2156
5580,3360
8796,6296
5620,3640
10436,7164
5284,3344
5016,2544
6152,3784
4556,2324
4752,2660
7100,4584
4352,2256
4964,2508
5140,3028
5232,2776
5264,3112
8512,4856
4604,2200
5748,3180
5504,3636
5528,3472
5556,3128
4344,2024
4668,2388
4920,2580
5528,3132
4380,2216
4340,2100
4704,2496
4684,2248
5204,2916
4904,2952
4328,2152
5128,3096
4692,2408
4908,2368
4188,1996
4288,1928
4380,1936
4248,1912
4400,1956
4200,1924
4348,2056
4184,1936
4368,1968
4340,1968
4300,1920
4400,1988
4280,1972
4348,1984
4392,1936
4216,1964
4428,2004
4384,1864
4292,1944
4348,1924
4344,2008
4288,1972
4192,1932
4232,1856
4428,1928
4380,1948
4340,2004
4384,2052
4368,2036
4152,1860
4184,1912
4164,1928
4284,1996
4408,2044
4336,2048
4296,1980
4252,1856
4192,1940
4440,2004
4428,1904
4188,2040
4300,1988
4280,1896
4308,1904
4412,1916
4384,2056
4140,1956
4468,1932
4396,2008
4260,1980
4228,1956
4404,1988
4332,1896
4392,1988
4464,1972
4372,2004
4340,1980
4416,1988
4184,1912
4300,1856
4352,1980
4096,1928
4100,1912
4180,1916
4344,1924
4348,1984
4148,1912
4392,1900
4396,1856
4396,2008
4120,1960
4180,2028
4284,1988
4388,1980
4412,1884
4276,1908
4384,1916
4348,1952
4340,2076
4240,1956
4328,1976
4192,2044
4404,1920
4248,1840
4380,1936
4364,1928
4232,1972
4296,1932
4408,2000
4412,2036
4344,1972
4412,1964
4368,1928
4348,1896
4308,1856
4192,1928
4304,1844
4224,1896
4196,1824
4332,1824
4308,1892
4272,1948
4284,1840
4248,1880
4184,1872
4304,1940
4216,1760
4176,1844
4152,1824
4260,1904
4316,1812
4228,1820
4288,1836
4116,1796
4152,1920
4288,1860
4184,1828
4332,1768
4388,1868
4220,1908
4280,1944
4276,1824
4228,1944
4348,1840
4160,1892
4352,1892
4148,1872
4304,1892
4324,1848
4320,1836
4176,1952
4348,1872
4292,1820
4272,1860
4280,1844
4256,1844
4388,1900
4144,1828
4112,1880
4240,1860
4360,1864
4296,1892
4176,1896
4184,1840
4308,1896
4340,1900
4336,1848
4136,1836
4276,1916
4280,1848
4160,1852
4152,1864
4288,1828
4188,1840
4148,1860
4180,1768
4244,1840
4148,1924
4224,1928
4300,1856
4344,1928
4188,1832
4332,1956
4264,1800
4336,1864
4308,1820
4192,1904
4280,1908
4316,1892
4252,1888
4220,1824
4148,1912
4388,1836
4316,1812
4236,1888
4272,1908
4264,1788
4344,1844
4132,1828
4316,1756
4148,1776
4144,1972
4260,1848
4284,1840
4332,1880
4340,1904
4100,1824
4112,1804
4216,1840
4148,1916
4284,1876
4200,1964
4236,1840
4144,1884
4188,1848
4340,1956
4240,1904
4188,1848
4312,1832
4308,1856
4324,1844
4084,1824
4204,1800
4248,1820
4112,1944
4212,1800
4144,1880
4204,1932
4096,1804
4152,1924
4268,1952
4280,1804
4204,1836
4092,1896
4264,1872
4232,1800
4252,1892
4112,1788
4260,1896
4292,1876
4208,1816
4280,1896
4220,1812
4096,1800
4096,1800
4108,1796
4320,1884
4204,1816
4320,1808
4260,1732
4108,1792
4108,1864
4216,1800
4296,1864
4164,1808
4276,1884
4092,1760
4172,1900
4216,1852
4224,1900
4104,1824
4260,1888
4112,1812
4196,1800
4108,1872
4116,1944
4092,1888
4096,1832
4208,1828
4268,1748
4260,1824
4320,1860
4292,1892
4156,1832
4304,1896
4228,1820
4320,1820
4092,1804
4236,1872
4104,1748
4288,1876
4300,1828
4232,1804
4388,1888
4148,1964
4204,1816
4108,1808
4144,1888
4100,1868
4268,1800
4260,1788
4240,1824
4096,1796
4092,1788
4108,1852
4152,1740
4244,1784
4284,1808
4116,1804
4280,1868
4312,1812
4108,1788
4264,1776
4148,1812
4152,1800
4204,1828
4216,1816
4164,1864
4268,1848
4260,1880
4264,1812
4108,1860
4112,1792
4108,1912
4280,1908
4144,1848
4292,1824
4212,1856
4292,1780
4156,1840
4304,1816
4324,1824
4160,1904
4144,1880
4188,1876
4220,1836
4272,1820
4144,1812
4288,1848
4192,1908
4216,1828
4088,1824
4192,1840
4252,1952
4108,1844
4300,1924
4340,1896
4224,1896
4220,1840
4240,1832
4328,1832
4156,1880
4344,1788
4192,1876
4192,1800
4392,1892
4140,1888
4320,1884
4152,1892
4168,1892
4144,1800
4164,1820
4304,1956
4328,1840
4104,1844
4268,1828
4348,1820
4352,1940
4248,1848
4180,1824
4132,1828
4252,1816
4268,1836
4116,1872
4188,1932
4288,1940
4344,1852
4132,1800
4312,1912
4308,1888
4276,1836
4172,1872
4352,1884
4180,1836
4136,1884
4316,1900
4244,1816
4328,1824
4256,1884
4268,1892
4148,1804
4140,1836
4336,1960
4184,1852
4352,1876
4140,1860
4276,1880
4248,1960
4292,1760
4148,1824
4336,1888
4280,1812
4348,1924
4168,1872
4144,1904
4300,1768
4120,1844
4304,1820
4160,1768
4228,1824
4320,1756
4304,1856
4192,1888
4240,1792
4152,1848
4276,1924
4268,1796
4096,1868
4216,1820
4104,1804
4280,1812
4268,1804
4260,1792
4096,1812
4264,1876
4160,1848
4272,1840
4244,1876
4276,1924
4152,1812
4244,1912
4124,1792
4104,1796
4112,1800
4268,1784
4104,1776
4268,1724
4112,1852
4312,1804
4216,1928
4260,1800
4276,1868
4116,1808
4272,1868
4100,1920
4268,1892
4204,1792
4212,1816
4264,1872
4272,1892
4108,1864
4108,1812
4096,1796
4104,1916
4144,1732
4216,1884
4148,1812
4264,1804
4276,1768
4136,1748
4208,1796
4148,1864
4104,1804
4216,1876
4148,1716
4264,1888
4144,1880
4264,1808
4216,1872
4256,1924
4144,1796
4108,1812
4148,1868
4152,1800
4316,1884
4276,1828
4244,1912
4256,1876
4204,1884
4096,1872
4268,1812
4152,1812
4264,1788
4100,1936
4096,1840
4104,1816
4264,1872
4208,1740
4092,1800
4132,1872
4144,1784
4184,1924
4276,1888
4284,1856
4204,1812
4204,1816
4208,1908
4108,1856
4272,1856
4296,1852
4216,1796
4096,1820
4108,1728
4096,1928
4104,1772
4148,1808
4260,1864
4204,1884
4276,1764
4152,1776
4240,1804
4132,1752
4240,1712
4092,1904
4184,1848
4076,1828
4260,1844
4196,1888
4132,1796
4132,1784
4092,1788
4068,1844
4088,1836
4248,1712
4240,1880
4240,1772
4096,1772
4260,1812
4088,1844
4264,1852
4188,1840
4188,1784
4244,1788
4096,1712
4264,1796
4228,1812
4092,1820
4248,1764
4128,1840
4132,1836
4188,1772
4260,1912
4096,1796
4088,1796
4128,1904
4264,1712
4248,1828
4088,1840
4244,1852
4296,1888
4192,1776
4088,1752
4296,1812
4092,1832
4088,1796
4088,1748
4256,1848
4092,1752
4128,1880
4132,1908
4088,1788
4096,1852
4248,1860
4192,1844
4052,1776
4076,1852
4192,1900
4196,1864
4056,1792
4132,1776
4080,1812
4188,1752
4196,1796
4080,1880
4252,1780
4092,1792
4252,1792
4188,1848
4244,1896
4260,1892
4188,1780
4092,1712
4188,1792
4228,1852
4296,1788
4132,1776
4096,1908
4088,1788
4092,1816
4092,1716
4228,1888
4188,1860
4096,1796
4244,1780
4080,1820
4264,1896
4240,1808
4132,1780
4080,1800
4296,1756
4092,1796
4296,1720
4084,1792
4200,1708
4264,1824
4052,1756
4096,1716
4088,1884
4248,1716
4196,1740
4296,1864
4196,1708
4136,1756
4076,1724
4192,1764
4092,1896
4092,1872
4136,1712
4092,1844
4196,1900
4240,1764
4084,1792
4200,1776
4264,1772
4188,1812
4260,1856
4196,1752
4244,1904
4076,1780
