ram1,ram2
4200,3376
4180,3988
4448,5392
4300,5104
5096,7936
4476,5096
4700,6616
4132,4460
4232,4240
4296,5304
4488,4024
4200,4808
4132,3452
4800,6352
4288,4384
4696,6880
4252,4240
4980,10840
4564,6396
4524,4924
4128,3616
4336,3724
4348,5052
4528,4840
4260,3276
4416,6880
4332,4792
4208,4680
4124,3556
4400,4040
4560,6568
4648,7788
15948,196444
4092,3224
6404,27956
4364,3760
9104,69384
4204,3788
13324,195692
4724,7552
4228,3672
13752,127148
4196,3404
37232,364216
4100,3448
25644,274200
4432,5296
15212,262468
4136,3352
33092,345056
4344,4644
28108,524604
4552,5652
4208,3560
4340,3980
4196,4888
4732,6880
4288,3616
4524,5772
4420,4468
6600,39160
4252,4504
24396,435716
4376,3800
6996,46992
4588,5944
23428,466588
4580,6616
4988,7308
4692,5884
4264,3228
4096,3500
4376,5284
4488,4756
4736,7144
4460,4668
4460,6284
4144,3540
4196,3400
4364,3896
4252,3896
4380,4460
4192,3164
4608,6088
4288,4384
4616,5560
4280,4240
4940,8676
4404,6352
4412,4708
4256,3464
4124,3160
4336,4812
4272,4224
4184,3128
4156,3612
4408,4388
4380,3824
4096,3432
4412,5264
4544,6616
4292,4896
4272,4028
4440,5648
4132,3464
4424,5824
4608,4824
4472,5032
4888,7408
4332,4304
4292,3612
4556,5964
4340,4796
4408,4008
5508,11104
4840,8644
4256,3864
4632,5560
5240,13216
4260,5140
4912,8232
4328,4240
4396,5560
4504,6756
4572,6152
4504,7432
4688,6804
4324,3604
4268,3456
4364,5148
4620,6848
4392,4240
4224,4024
4792,6928
4612,8316
4440,5560
4636,7672
5032,8868
5428,11632
4136,3564
4984,6356
4252,4312
4684,9356
4228,4504
6208,22152
5696,15400
4284,4668
4280,3764
4176,3892
4456,5560
5208,13760
4820,8464
4712,7144
4320,4096
4692,6128
69488,1288580
4192,5032
4196,3488
4444,5856
4340,4616
4348,4964
4396,3992
4140,4768
17532,162988
4460,6616
43084,718840
4428,5340
9200,75532
4292,3552
57224,1101832
4636,4980
4304,4504
4136,3256
4492,14376
4264,4372
11844,201756
4344,4260
8844,68516
4352,3936
57484,777236
4268,5468
44228,643080
4344,3696
5044,28492
4244,3532
20124,217764
4112,3564
38756,476152
4216,4064
31032,460416
4164,4672
14164,238124
4344,3996
7392,59768
4668,7024
4984,10576
4552,6192
46208,1188272
4284,4260
7028,57548
4576,5084
30856,501752
4392,7048
21176,296172
4484,5284
75396,901664
4708,5480
46044,793592
4204,3384
4560,10460
4236,3852
81180,1702724
4228,3476
59212,1138792
4292,4512
31736,476232
4244,3444
17828,209028
4192,3392
20396,204220
4500,4820
48200,1254164
4248,3620
8700,51856
4192,3300
6968,48908
4180,4076
81028,1001056
4332,3628
8716,62580
4312,3508
13288,99492
4552,6616
4496,6888
48352,716968
4548,5432
11044,152236
4336,5264
51288,1508008
4316,4032
12384,168484
4704,5936
4332,3912
35880,418136
4296,3248
53788,851032
4248,4504
20384,292240
4764,7508
4212,3352
4396,5040
4908,8992
4376,4548
4196,4828
42224,803228
4436,4620
16208,221208
4224,4620
6964,73148
4324,3720
7036,60828
4556,6088
41224,714600
5052,7936
4476,4768
7560,98340
4188,3664
5244,40968
4376,4496
4960,8200
4252,3388
4092,3268
8404,53528
4304,3572
4100,3452
4524,16384
4476,5888
4088,3248
4156,5976
4532,5868
35636,696556
4288,3668
7736,87384
4372,4012
14060,200928
4384,4504
23076,283356
4216,3844
7688,67640
4424,5744
4228,4200
4256,4768
4328,3696
10772,108584
4452,5196
26172,552164
4424,4656
19476,375272
4264,3980
4588,24200
4828,7064
8552,145848
4304,4576
35896,464768
4096,3444
7772,108160
7868,81328
8820,148916
7560,82296
10036,259136
8696,138172
7140,63608
7732,86784
6976,49776
7388,78392
8548,141160
7996,133464
7688,83144
7780,105296
4264,3544
10252,236416
9332,178128
10152,166284
8624,124124
9128,187092
6716,54728
6764,54408
6772,66596
6812,43756
8216,114100
8604,154692
7800,99468
7476,79976
8104,110092
6444,37900
8520,129532
11240,233048
11516,240592
11048,230496
7396,82344
7280,68424
7056,50300
6560,47336
6616,52272
10012,186284
11492,249728
6608,37644
6832,46472
8012,95172
7924,52060
6820,63400
7368,85584
7816,86080
7652,102984
7160,66048
8548,126748
9412,163220
8460,115528
8100,100816
7540,80968
10300,168852
7332,61724
6856,61116
8812,126652
9072,155004
9084,135144
6596,43588
8536,125960
7664,86472
8188,137436
7072,56896
8572,160072
7076,79952
6412,37928
10456,207184
6676,55688
9376,176268
7380,91772
7484,85112
11520,200876
6968,53572
7372,82652
9488,165944
16064,335352
11084,277208
10576,189324
11140,254292
10608,201084
6572,54156
9460,143044
7532,67644
9492,228892
7096,49580
7400,75016
9948,207588
10756,194444
6528,49288
7820,115344
9584,149332
7144,65720
7108,73640
7300,77972
6784,50676
7396,85252
8692,158736
6528,36456
6916,60588
7428,93000
7568,76308
7780,95684
11012,277004
10724,209832
9780,255104
11620,205912
9456,198608
8716,147496
6824,43568
7372,84688
7072,107500
6588,45688
8452,137788
9108,220328
10268,186332
8292,117228
11480,257560
6784,44428
6644,38020
7528,86196
7892,89060
6696,40112
10524,254216
12492,277156
9584,236116
14332,396388
8240,103884
10072,174968
6820,44776
7436,83240
7496,90676
6964,54504
6728,66668
10088,159856
9240,153196
11268,234100
7352,62704
6840,42712
13704,289128
14920,352504
7220,70068
7396,77892
8812,144060
8320,116988
7140,80684
7764,92536
8000,112812
6508,26292
4680,6088
4604,7152
4500,5900
4152,3632
4096,3472
4100,3456
4628,6736
4344,4024
4152,3524
4628,6736
4496,5148
4308,4768
4636,5824
4460,4300
5332,11632
4116,3524
4400,5296
4192,4300
4728,7296
4236,4376
5080,8200
4468,5296
4140,3696
4180,3716
4220,3764
4352,5300
4892,8840
5096,8464
4768,7468
5828,18944
5848,26036
5704,26416
