sp1,sp2
0.961,0.888
0.335,0.426
0.55,0.613
0.274,0.52
0.323,0.357
0.33,0.435
0.531,0.62
0.413,0.33
0.733,0.325
0.302,0.31
0.249,0.181
0.859,0.845
0.02,0.063
0.669,0.766
0.737,0.695
0.435,0.57
0.688,0.759
0.4,0.527
0.583,0.559
0.627,0.544
0.519,0.471
0.137,0.099
0.479,0.511
0.189,0.227
0.105,0.105
0.077,0.009
0.264,0.35
0.552,0.55
0.508,0.472
0.593,0.592
0.37,0.571
0.854,0.875
0.603,0.712
0.884,0.953
0.221,0.441
0.743,0.687
0.846,0.933
0.968,0.983
0.813,0.842
1,1
0.89,0.906
0.461,0.632
0.853,0.8
0.515,0.656
0.368,0.223
0.52,0.574
0.321,0.477
0.275,0.494
0.708,0.69
0.714,0.757
0.856,0.879
0.795,0.745
0.817,0.816
0.376,0.456
0.625,0.7
1,0.934
0.611,0.776
0.638,0.602
0.289,0.398
0.38,0.373
0.362,0.428
0.53,0.621
0.528,0.507
0.791,0.667
0.59,0.577
0.142,0.153
0.871,0.9
0.827,0.037
0.669,0.757
0.742,0.71
0.48,0.621
0.701,0.76
0.391,0.547
0.595,0.511
0.651,0.544
0.592,0.483
0.181,0.263
0.502,0.457
0.355,0.353
0.307,0.203
0.273,0.215
0.294,0.392
0.653,0.722
0.556,0.467
0.348,0.6
0.208,0.301
0.606,0.677
0.543,0.466
0.535,0.564
0.438,0.471
0.435,0.494
0.404,0.495
0.698,0.711
0.77,0.798
0.919,0.906
0.878,0.867
0.855,0.904
0.876,0.877
0.927,0.901
0.817,0.85
0.864,0.91
0.902,0.906
0.873,0.89
0.691,0.702
0.546,0.56
0.906,0.917
0.995,1
0.773,0.938
0.845,0.783
0.862,0.909
0.914,0.924
0.842,0.845
0.822,0.218
0.868,0.878
0.936,0.935
0.848,0.886
0.883,0.923
0.703,0.807
0.816,0.862
0.879,0.923
0.783,0.802
0.767,0.795
0.9,0.896
0.759,0.786
0.876,0.75
0.707,0.712
0.876,0.894
0.828,0.899
0.924,0.96
0.72,0.837
0.824,0.841
0.926,0.862
0.923,0.925
0.755,0.601
0.603,0.611
0.808,0.891
0.843,0.889
0.782,0.801
0.912,0.906
0.786,0.803
0.986,0.993
0.872,0.897
0.917,0.911
0.86,0.87
0.933,0.937
0.938,0.896
1,1
0.853,0.874
0.695,0.686
0.834,0.853
0.967,0.951
0.393,0.529
1,1
0.838,0.88
0.646,0.47
0.844,0.862
0.877,0.926
0.779,0.823
0.974,0.872
0.725,0.692
0.875,0.868
0.941,0.868
0.947,0.921
0.66,0.694
0.812,0.848
0.948,0.954
0.951,0.973
0.553,0.659
0.909,0.92
0.932,0.917
0.952,0.955
0.838,0.907
1,1
0.949,0.99
0.748,0.719
1,1
1,1
0.899,0.918
0.926,0.853
1,0.984
0.86,0.861
0.933,0.935
0.96,0.989
0.845,0.88
0.898,0.916
0.937,0.946
0.792,0.815
0.981,0.982
0.802,0.811
0.903,0.892
0.949,0.962
0.973,0.984
0.602,0.693
0.841,0.809
0.896,0.891
0.71,0.718
0.572,0.57
0.913,0.896
0.947,0.968
0.881,0.901
0.924,0.95
0.82,0.867
0.819,0.884
0.886,0.884
0.938,0.953
0.642,0.623
0.913,0.915
1,1
0.991,0.991
0.773,0.899
0.893,0.916
0.743,0.751
0.789,0.8
0.943,0.958
0.928,0.93
0.897,0.904
0.778,0.905
0.795,0.852
0.611,0.652
0.9,0.91
0.488,0.392
0.918,0.914
0.982,0.982
0.963,0.974
0.914,0.951
0.966,0.972
0.832,0.831
0.249,0.257
0.166,0.199
0.083,0.116
0,0
0.323,0.318
0.161,0.154
0.032,0.119
0.403,0.374
0.151,0.173
0.074,0.065
0.177,0.201
0.069,0.072
0.249,0.254
0.077,0.09
0.004,0
0.83,0.786
0.126,0.129
0.069,0.07
0.072,0.107
0.203,0.184
0.128,0.13
0.113,0.129
0.372,0.419
0.464,0.449
0.162,0.187
0.174,0.005
0.088,0.109
0.215,0.22
0.145,0.141
0.072,0.122
0.539,0.541
0.093,0.123
0.034,0.045
0.044,0.056
0,0
0.104,0.109
0.197,0.2
0.371,0.4
0.558,0.556
0.523,0.521
0.107,0.142
0.031,0.037
0.308,0.312
0.35,0.348
0.236,0.246
0,0
0.344,0.389
0.098,0.102
0.348,0.37
0.212,0.213
0.234,0.243
0.139,0.151
0.225,0.23
0.141,0.159
0.03,0.032
0.299,0.314
0.047,0.091
0.075,0.094
0.248,0.25
0.143,0.165
0.159,0.19
0.058,0.073
0.292,0.392
0.215,0.235
0.084,0.065
0.061,0.062
0.213,0.141
0.273,0.281
0.33,0.336
0.61,0.609
0.039,0.046
0.358,0.358
0.102,0.121
0.17,0.186
0.234,0.258
0.079,0.1
0.477,0.463
0.139,0.141
0.063,0.064
0.06,0.065
0.061,0.064
0.036,0.017
0.348,0.295
0.032,0.048
0.227,0.229
0.233,0.23
0.167,0.229
0.176,0.165
0.111,0.126
0.098,0.096
0.519,0.492
0.176,0.159
0.101,0.111
0.276,0.29
0.143,0.181
0.115,0.143
0.262,0.27
0.091,0.091
0.138,0.141
0.414,0.472
0.19,0.2
0.311,0.354
0.193,0.204
0.29,0.281
0.062,0.063
0.025,0.035
0.032,0.032
0.021,0.027
0.16,0.172
0.067,0.079
0.316,0.001
0.014,0.014
0.365,0.362
0.348,0.34
0.058,0.062
0.158,0.169
0.038,0.046
0.163,0.166
0.042,0.048
0.313,0.354
0.578,0.59
0.381,0.414
0.189,0.206
0.487,0.472
0.063,0.066
0.021,0.024
0.132,0.135
0.164,0.166
0.044,0.045
0.147,0.15
0.44,0.347
0.249,0.26
0.151,0.164
0.361,0.341
0.485,0.477
0.034,0.035
0.054,0.067
0.063,0.061
0.224,0.24
0.407,0.413
0.048,0.039
0.272,0.274
0.094,0.117
0.143,0.146
0.218,0.221
0.251,0.252
0.199,0.198
0.137,0.138
0.86,0.909
0.946,0.927
0.859,0.857
0.873,0.218
0.885,0.854
0.937,0.94
0.847,0.885
0.876,0.923
0.795,0.812
0.832,0.845
0.863,0.935
0.748,0.784
0.903,0.952
0.905,0.902
0.761,0.786
0.876,0.776
0.722,0.724
0.876,0.894
0.832,0.892
0.95,0.96
0.739,0.843
0.791,0.844
0.872,0.881
0.917,0.925
0.707,0.617
0.603,0.631
0.805,0.905
0.849,0.888
0.737,0.076
0.294,0.477
0.945,0.951
0.666,0.672
0.735,0.752
0.931,0.941
0.739,0.777
0.505,0.637
0.902,0.932
0.776,0.809
0.842,0.853
0.652,0.678
0.596,0.604
0.756,0.824
0.518,0.535
0.69,0.775
0.914,0.932
0.89,0.908
0.809,0.843
0.838,0.865
0.851,0.865
0.796,0.886
0.841,0.845
0.453,0.459
0.818,0.834
0.807,0.833
0.763,0.778
0.967,0.976
0.76,0.752
0.918,0.883
0.827,0.888
0.908,0.912
0.921,0.944
0.784,0.839
0.814,0.862
0.752,0.839
0.798,0.846
0.9,0.93
0.902,0.917
0.566,0.575
0.664,0.687
0.96,0.925
0.85,0.873
0.954,0.957
0.941,0.953
0.767,0.747
0.931,0.941
0.733,0.779
0.763,0.782
0.941,0.955
0.818,0.859
0.874,0.862
0.737,0.768
0.746,0.913
0.81,0.896
0.849,0.817
0.887,0.89
0.945,0.954
0.918,0.911
0.839,0.839
0.857,0.869
0.872,0.882
0.806,0.892
0.864,0.867
0.866,0.831
0.952,0.96
0.818,0.846
0.841,0.827
0.964,0.975
0.828,0.796
0.914,0.887
0.85,0.889
0.929,0.923
0.937,0.943
0.794,0.836
0.883,0.903
0.938,0.937
0.801,0.848
0.916,0.894
0.903,0.915
0.852,0.853
0.877,0.893
0.8,0.828
0.573,0.646
0.487,0.578
0.838,0.852
0.765,0.811
0.643,0.651
0.77,0.783
0.553,0.66
0.426,0.357
0.738,0.749
0.897,0.902
0.608,0.653
0.534,0.59
0.867,0.883
0.628,0.704
0.337,0.603
0.578,0.563
0.799,0.829
0.575,0.616
0.494,0.51
0.512,0.505
0.767,0.834
0.745,0.799
0.64,0.718
0.447,0.597
0.65,0.697
0.576,0.58
0.547,0.47
0.788,0.81
0.759,0.872
0.865,0.854
0.679,0.683
0.522,0.52
0.889,0.857
0.834,0.938
0.688,0.728
0.83,0.81
0.624,0.673
0.74,0.497
0.829,0.845
0.922,0.907
0.613,0.646
0.586,0.615
0.86,0.853
0.655,0.68
0.521,0.598
0.557,0.557
0.917,0.926
0.676,0.747
0.68,0.482
0.596,0.59
0.801,0.79
0.715,0.794
0.709,0.773
0.689,0.629
0.678,0.701
0.584,0.579
0.591,0.503
0.799,0.818
0.853,0.89
0.862,0.916
0.373,0.733
0.863,0.891
0.879,0.903
0.855,0.859
0.692,0.724
0.709,0.71
0.832,0.851
0.669,0.754
0.787,0.864
0.644,0.669
0.82,0.856
0.602,0.727
0.694,0.731
0.74,0.877
0.815,0.849
0.815,0.803
0.841,0.915
0.845,0.874
0.844,0.898
0.885,0.817
0.639,0.722
0.605,0.644
0.847,0.857
0.571,0.637
0.581,0.66
0.836,0.873
0.782,0.837
0.637,0.697
0.538,0.543
0.865,0.89
0.715,0.726
0.573,0.595
0.624,0.705
0.895,0.919
0.71,0.448
0.556,0.731
0.791,0.873
0.864,0.905
0.707,0.841
0.715,0.774
0.683,0.65
0,0.869
0.56,0.585
0.46,0.635
0.837,0.901
0.876,0.879
0.717,0.851
0.594,0.615
0.246,0.422
0.477,0.534
0.957,0.945
0.905,0.934
0.57,0.645
0.547,0.589
0.791,0.85
0.655,0.695
0.75,0.661
0.556,0.598
0.562,0.63
0.885,0.906
0.757,0.863
0.516,0.538
0.58,0.789
0.543,0.659
0.316,0.369
0.725,0.922
0.907,0.933
0.651,0.693
0.528,0.623
0.755,0.795
0.81,0.825
0.707,0.674
0.536,0.586
0.686,0.685
0.887,0.894
0.789,0.856
0.418,0.554
0.664,0.785
0.616,0.671
0.986,1
0.537,0
0.552,0
0.333,0
0.348,0
0.537,0
0.03,0
0.522,0
0.537,0
0.962,0.962
0.082,0
1,0.986
0.456,0
0.125,0.078
0.197,0.106
0.219,0
0.227,0
0.349,0
0.119,0
0.908,0.989
1,1
0.964,0.964
1,1
0.986,0.958
0.465,0.366
0.958,0.958
0.958,0.889
1,1
0.958,0.736
0.973,0.973
0.795,0.781
1,1
1,1
0.643,0.614
0.543,0.7
1,1
0.77,0.365
0.716,0.811
0.918,0.795
0.549,0.507
0.958,0.972
0.964,0.964
1,1
0.987,0.787
1,1
0.767,0.74
0.958,0.736
0.587,0.173
0.851,0.959
0.712,0.479
0.816,0.947
1,0.986
0.611,0.361
0.973,0.945
0.986,1
0.653,0.236
0.569,0.181
0.986,0.986
0.939,0.939
0.944,0.944
0.571,0.371
0.944,0.366
1,0.959
0.592,0.268
0.62,0.352
0.986,1
0.958,0.972
0.976,0.915
0.973,0.973
1,1
0.958,0.958
0.944,0.93
0.912,0.956
0.973,0.548
0.839,0.919
0.634,0.338
0.986,1
0.514,0.6
1,1
0.589,0.466
1,1
0.93,0.944
0.938,0.969
0.62,0.366
1,0.973
1,0.528
0.74,0.589
0.592,0.521
0.972,0.861
0.75,0.681
0.681,0.222
0.958,0.958
0.952,0.952
0.976,0.951
0.855,0.855
0.959,0.986
0.406,0
0.507,0
0.963,0.963
0.5,0.088
0.94,0.94
0.943,0.943
0.955,0.955
0.864,0.864
0.958,0.264
0.958,0.208
1,0.987
0.644,0.11
0.536,0.087
0.5,0
0.657,0
0.985,1
0.522,0
0.358,0.134
0.522,0
0.394,0
