sp1,sp2
0,0
0,0
0.371,0.383
0.017,0.007
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.846,0.887
0,0
0.071,0.025
0,0
0,0
0,0
0,0
0.099,0.098
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.055,0.062
0,0
0,0
0.02,0.012
0,0
0,0
0,0
0,0
0.587,0.646
0.011,0.013
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.164,0.164
0,0
0,0
0,0
0.054,0.049
0,0
0.023,0.024
0,0
0,0
0,0
0,0
0.038,0.05
0,0
0.114,0.128
0,0
0,0
0.003,0.004
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.206,0.252
0,0
0.191,0.194
0,0
0,0
0,0
0,0
0.031,0.032
0,0
0.098,0.098
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.018,0.018
0,0
0.964,0.947
0,0
0,0
0,0
0.025,0.016
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.963,0.963
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.12,0.134
0,0
0,0
0,0
0,0
0,0
0.001,0.001
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.001,0.001
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.085,0.089
0,0
0,0
0,0
0.301,0.381
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.941,0.937
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.061,0.061
0,0
0,0
0.538,0.615
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.038,0
0,0
0,0
0,0
0.034,0.024
0,0
0,0
0,0
0,0
0,0
0.231,0.003
0,0
0,0
0,0.091
0.368,0.42
0.099,0.052
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
