sp1,sp2
0.961,0.886
0.335,0.723
0.55,0.635
0.274,0.56
0.323,0.353
0.33,0.291
0.531,0.549
0.413,0.511
0.733,0.632
0.302,0.309
0.249,0.302
0.859,0.913
0.02,0.337
0.669,0.675
0.737,0.602
0.435,0.528
0.688,0.662
0.4,0.475
0.583,0.594
0.627,0.579
0.519,0.59
0.137,0.135
0.479,0.465
0.189,0.26
0.105,0.085
0.077,0.115
0.264,0.38
0.552,0.541
0.508,0.434
0.37,0.445
0.221,0.111
0.461,0.574
0.368,0.277
0.52,0.439
0.321,0.588
0.275,0.182
0.376,0.417
0.625,0.624
1,1
0.611,0.745
0.638,0.659
0.289,0.623
0.38,0.415
0.362,0.349
0.53,0.578
0.528,0.581
0.791,0.726
0.59,0.544
0.142,0.321
0.871,0.913
0.827,0.337
0.669,0.683
0.742,0.616
0.48,0.531
0.701,0.65
0.391,0.499
0.595,0.642
0.651,0.633
0.592,0.565
0.181,0.57
0.502,0.466
0.355,0.49
0.307,0.624
0.273,0.332
0.294,0.395
0.653,0.796
0.556,0.523
0.348,0.511
0.208,0.123
0.606,0.622
0.543,0.495
0.535,0.498
0.438,0.588
0.435,0.496
0.404,0.417
0.698,0.668
0.77,0.754
0.919,0.912
0.878,0.886
0.855,0.842
0.876,0.871
0.927,0.926
0.817,0.822
0.864,0.893
0.902,0.902
0.873,0.869
0.691,0.711
0.546,0.547
0.906,0.919
0.995,1
0.773,0.878
0.845,0.729
0.862,0.837
0.914,0.899
0.842,0.845
0.822,0.747
0.868,0.879
0.936,0.906
0.848,0.842
0.883,0.862
0.703,0.707
0.816,0.792
0.879,0.896
0.783,0.774
0.767,0.743
0.9,0.891
0.759,0.743
0.876,0.753
0.707,0.678
0.876,0.905
0.828,0.834
0.924,0.922
0.72,0.727
0.824,0.853
0.926,0.906
0.923,0.848
0.755,0.688
0.603,0.589
0.808,0.796
0.843,0.822
0.782,0.779
0.912,0.906
0.872,0.886
0.917,0.845
0.86,0.892
0.938,0.94
0.812,0.82
0.898,0.902
0.841,0.823
0.896,0.874
0.71,0.679
0.572,0.591
0.913,0.931
1,1
0.9,0.9
0.83,0.823
0.86,0.843
0.946,0.895
0.859,0.851
0.873,0.747
0.885,0.896
0.937,0.906
0.847,0.844
0.876,0.862
0.795,0.72
0.832,0.81
0.863,0.908
0.748,0.79
0.903,0.905
0.905,0.905
0.761,0.742
0.876,0.737
0.722,0.694
0.876,0.905
0.832,0.838
0.95,0.948
0.739,0.745
0.791,0.849
0.872,0.922
0.917,0.869
0.707,0.76
0.603,0.602
0.805,0.795
0.849,0.833
0.737,0.726
0.294,0.327
0.945,0.951
0.666,0.668
0.735,0.764
0.931,0.916
0.739,0.735
0.505,0.609
0.902,0.899
0.776,0.774
0.842,0.822
0.652,0.661
0.596,0.584
0.756,0.767
0.518,0.521
0.69,0.739
0.914,0.914
0.89,0.923
0.809,0.803
0.838,0.847
0.851,0.853
0.796,0.83
0.841,0.833
0.453,0.456
0.818,0.821
0.807,0.807
0.763,0.769
0.967,0.969
0.76,0.785
0.918,0.896
0.827,0.843
0.908,0.895
0.921,0.914
0.784,0.8
0.814,0.851
0.752,0.834
0.798,0.802
0.9,0.897
0.902,0.884
0.566,0.553
0.664,0.675
0.96,0.983
0.85,0.87
0.954,0.954
0.941,0.946
0.767,0.78
0.931,0.927
0.733,0.775
0.763,0.701
0.941,0.958
0.818,0.815
0.874,0.874
0.737,0.748
0.746,0.827
0.81,0.833
0.849,0.878
0.887,0.905
0.945,0.946
0.918,0.937
0.839,0.822
0.857,0.856
0.872,0.873
0.806,0.83
0.864,0.862
0.866,0.857
0.952,0.941
0.818,0.82
0.841,0.82
0.964,0.972
0.828,0.858
0.914,0.901
0.85,0.864
0.929,0.921
0.937,0.935
0.794,0.803
0.883,0.868
0.938,0.954
0.801,0.797
0.916,0.915
0.903,0.894
0.852,0.836
0.877,0.878
0.8,0.828
0.573,0.678
0.487,0.488
0.838,0.816
0.765,0.752
0.643,0.623
0.77,0.679
0.553,0.643
0.426,0.432
0.738,0.745
0.897,0.915
0.608,0.624
0.534,0.541
0.867,0.847
