sp1,sp2
0.961,0.928
0.335,0.548
0.55,0.522
0.274,0.435
0.323,0.333
0.33,0.258
0.531,0.569
0.413,0.315
0.733,0.303
0.302,0.246
0.249,0.108
0.859,0.85
0.02,0.014
0.669,0.745
0.737,0.767
0.435,0.22
0.688,0.73
0.4,0.492
0.583,0.571
0.627,0.561
0.519,0.473
0.137,0.073
0.479,0.384
0.189,0.219
0.105,0.065
0.077,0.191
0.264,0.339
0.552,0.386
0.508,0.394
0.593,0.516
0.37,0.354
0.854,0.811
0.603,0.676
0.884,0.884
0.221,0.264
0.743,0.564
0.846,0.902
0.968,0.965
0.813,0.839
1,1
0.89,0.877
0.461,0.444
0.853,0.83
0.515,0.549
0.368,0.336
0.52,0.292
0.321,0.458
0.275,0.43
0.708,0.76
0.714,0.75
0.856,0.803
0.795,0.811
0.817,0.791
0.376,0.289
0.625,0.613
1,0.987
0.611,0.688
0.638,0.649
0.289,0.467
0.38,0.436
0.362,0.283
0.53,0.609
0.528,0.535
0.791,0.771
0.59,0.507
0.142,0.397
0.871,0.892
0.827,0.69
0.669,0.747
0.742,0.796
0.48,0.446
0.701,0.731
0.391,0.519
0.595,0.599
0.651,0.686
0.592,0.542
0.181,0.535
0.502,0.451
0.355,0.326
0.307,0.304
0.273,0.488
0.294,0.412
0.653,0.724
0.556,0.505
0.348,0.518
0.208,0.377
0.606,0.645
0.543,0.353
0.535,0.41
0.438,0.532
0.435,0.463
0.404,0.326
0.698,0.727
0.77,0.737
0.919,0.885
0.878,0.886
0.855,0.885
0.876,0.873
0.927,0.924
0.817,0.831
0.864,0.861
0.902,0.803
0.873,0.881
0.691,0.692
0.546,0.543
0.906,0.901
0.995,0.964
0.773,0.883
0.845,0.723
0.862,0.863
0.914,0.917
0.842,0.816
0.822,0.759
0.868,0.834
0.936,0.787
0.848,0.845
0.883,0.897
0.703,0.767
0.816,0.79
0.879,0.824
0.783,0.697
0.767,0.771
0.9,0.863
0.759,0.764
0.876,0.655
0.707,0.647
0.876,0.88
0.828,0.81
0.924,0.927
0.72,0.719
0.824,0.804
0.926,0.853
0.923,0.94
0.755,0.614
0.603,0.61
0.808,0.808
0.843,0.813
0.782,0.759
0.912,0.885
0.786,0.774
0.986,0.987
0.872,0.891
0.917,0.893
0.86,0.829
0.933,0.926
0.938,0.935
1,1
0.853,0.856
0.695,0.63
0.834,0.834
0.967,0.949
0.393,0.423
1,1
0.838,0.878
0.646,0.653
0.844,0.846
0.877,0.893
0.779,0.85
0.974,0.891
0.725,0.734
0.875,0.853
0.941,0.915
0.947,0.901
0.66,0.665
0.812,0.819
0.948,0.923
0.951,0.959
0.553,0.45
0.909,0.912
0.932,0.918
0.952,0.954
0.838,0.762
1,1
0.949,0.99
0.748,0.71
1,1
1,1
0.899,0.9
0.926,0.951
1,1
0.86,0.873
0.933,0.933
0.96,0.96
0.845,0.856
0.898,0.916
0.937,0.93
0.792,0.811
0.981,0.979
0.802,0.758
0.903,0.886
0.949,0.991
0.973,0.968
0.602,0.644
0.841,0.902
0.896,0.887
0.71,0.693
0.572,0.594
0.913,0.908
0.947,0.955
0.881,0.885
0.924,0.922
0.82,0.776
0.819,0.815
0.886,0.874
0.938,0.926
0.642,0.566
0.913,0.909
1,1
0.991,0.991
0.773,0.788
0.893,0.897
0.743,0.768
0.789,0.8
0.943,0.936
0.928,0.925
0.897,0.878
0.778,0.883
0.795,0.825
0.611,0.609
0.9,0.916
0.488,0.456
0.918,0.905
0.982,0.976
0.963,0.969
0.914,0.901
0.966,0.968
0.832,0.845
0.249,0.289
0.166,0.171
0.083,0.099
0,0
0.323,0.323
0.161,0.166
0.032,0.116
0.403,0.387
0.151,0.157
0.074,0.069
0.177,0.186
0.069,0.074
0.249,0.247
0.077,0.08
0.004,0
0.83,0.808
0.126,0.121
0.069,0.071
0.072,0.102
0.203,0.206
0.128,0.139
0.113,0.119
0.372,0.41
0.464,0.479
0.162,0.122
0.174,0
0.088,0.113
0.215,0.218
0.145,0.138
0.072,0.117
0.539,0.455
0.093,0.134
0.034,0.041
0.044,0.045
0,0
0.104,0.12
0.197,0.202
0.371,0.319
0.558,0.566
0.523,0.498
0.107,0.111
0.031,0.03
0.308,0.299
0.35,0.326
0.236,0.243
0,0
0.344,0.349
0.098,0.099
0.348,0.411
0.212,0.21
0.234,0.227
0.139,0.14
0.225,0.233
0.141,0.149
0.03,0.036
0.299,0.3
0.047,0.055
0.075,0.102
0.248,0.257
0.143,0.121
0.159,0.189
0.058,0.071
0.292,0.251
0.215,0.218
0.084,0.084
0.061,0.064
0.213,0.223
0.273,0.276
0.33,0.337
0.61,0.579
0.039,0.043
0.358,0.361
0.102,0.104
0.17,0.187
0.234,0.248
0.079,0.073
0.477,0.447
0.139,0.14
0.013,0.013
0.063,0.064
0.06,0.057
0.061,0.059
0.036,0.023
0.348,0.354
0.032,0.038
