sp1,sp2
0,0
0,0
0.371,0.401
0.017,0.056
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.846,0.864
0,0
0.071,0.069
0,0
0,0
0,0
0,0
0.099,0.104
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.055,0.138
0,0
0,0
0.02,0
0,0
0,0
0,0
0,0
0.587,0.655
0.011,0.01
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.164,0.427
0,0
0,0
0,0
0.054,0.102
0,0
0.023,0.037
0,0
0,0
0,0
0,0
0.038,0.049
0,0
0.114,0.076
0,0
0,0.017
0.003,0.001
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.206,0.474
0,0
0.191,0.033
0,0
0,0
0,0
0,0
0.031,0.02
0,0
0.098,0.098
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.018,0.018
0,0
0.964,0.964
0,0
0,0
0,0
0.025,0.019
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.034
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.963,0.963
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.12,0.006
0,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.001,0.012
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.085,0.019
0,0
0,0
0,0
0.301,0.315
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.941,0.954
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.061,0.061
0,0
0,0
0.538,0.538
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.038,0.038
0,0
0,0
0,0
0.034,0.072
0,0
0,0
0,0
0,0
0,0
0.231,0.21
0,0
0,0
0,0
0.368,0.307
0.099,0.099
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
