t1,t2
0.005142166,0.043379434
0.007112922,0.308994468
0.015563598,0.861131653
0.014232546,0.81472122
0.041322093,4.125091771
0.011137201,0.789440614
0.027647754,2.096573533
0.008933469,0.505160118
0.006856965,0.330865339
0.01414024,0.960939225
0.008001664,0.493361801
0.018452038,0.55574575
0.003746659,0.071668293
0.023705931,2.175868121
0.00910224,0.405079946
0.033176967,2.75558101
0.012047664,0.245131481
0.086547074,8.780380086
0.027956416,2.146736122
0.012486845,0.670080094
0.00721606,0.107721736
0.009657149,0.103949436
0.011900605,0.879861454
0.010435823,0.772789742
0.003785912,0.066932053
0.016758601,1.098580662
0.010042436,0.573687239
0.01010525,0.487968145
0.004375883,0.068194619
0,0.19
0.024057575,2.543810129
164.31,600
0.04,2.33
1.53,60.55
0,0.03
0.14,5.5
0,0.12
0.57,26.98
0,0.1
1.3,47.27
0.03264062,3.226273696
0,0.08
1.08,36.56
0.01,0.05
3.56,600
0,0.06
2.44,66.9
0.01,0.46
1.73,75.92
0,0.04
3.52,107.05
0.01,0.34
4.03,186.19
0.01948638,1.288757054
0,0.08
15.17,540.02
0.01,0.16
0.009349618,0.662306087
0.031941122,2.983675861
0.004142267,0.091994326
0.024733032,1.905138914
15.58,600
0,0.28
0.19,6
0,0.33
4.04,600
0,0.1
0.26,15.97
0.02,1.14
3.82,246.05
0.02,1.29
0.025533908,2.663268534
0.019969763,2.158289713
0.003834285,0.037118969
0.00649526,0.09928917
0.010750855,0.563503233
0.013658777,0.591620219
0.036654409,2.402011989
0.008969651,0.486385286
0.02554564,1.532025027
0.004462979,0.063141369
0.006573005,0.111953256
0.004607168,0.129305287
0.008176977,0.184648746
0.008464386,0.282732973
0.005890587,0.057125193
0.019982253,1.419778366
0.008928258,0.281616465
0.01805054,1.111635574
0.005228382,0.194424162
0.04837982,4.598316583
0.021045547,1.687328326
0.010049205,0.521784358
0.008197418,0.067098242
0.003387594,0.041654331
0.011896644,0.561734602
0.01169196,0.352169423
0.008340898,0.039367594
0.00461849,0.109231507
0.00735604,0.328620894
0.01011332,0.188291836
0.004226743,0.058695111
0.016427907,0.941335452
0.023226188,1.78378434
0.010662918,0.607954207
0.005796952,0.234680595
0.015516534,1.078230359
0.003779022,0.063564697
0.018127576,1.252533355
0.011903024,0.737023653
0.012686978,0.760033494
0.051138571,2.769742539
0.012191434,0.243728179
0.005259545,0.088457399
0.0180623,1.192003871
0.011353696,0.482364184
0.005117605,0.167449312
0.104604453,7.370897432
0.039992049,3.468987808
0.007275003,0.101482649
0.015835237,0.886251962
0.141493349,10.866773603
0.009707582,0.490733934
0.054894991,3.349814457
0.008903567,0.260141378
0.017169539,0.857429007
0.02469429,1.887463825
0.025831339,1.597500644
0.036338396,1.84292475
0.028505284,2.069953934
0.008409222,0.080894173
0.005037538,0.060531345
0.006821623,0.492955111
0.033166876,1.831952774
0.006916639,0.186908762
0.006452417,0.172496845
0.024913535,2.208647973
0.051145902,3.723177349
0.015183811,0.923382593
0.040689767,2.65680144
0.049439483,3.431505574
0.108005219,8.226853005
0.005088972,0.107613748
0.027912243,1.655488452
0.007441075,0.210552522
0.03999614,3.268398873
0.008009405,0.264540914
0.193854974,16.286363987
0.037432082,7.039767237
0.007454226,0.381672101
0.005158437,0.101215054
0.005604208,0.157951714
0.01819413,0.742111134
0.0801353,9.48192453
0.051366946,3.476227013
0.035685501,2.232472785
0.006387843,0.185629384
77.32,600
0.01,1.2
15.99,600
0.01,0.39
0.003980396,0.082595706
0.01790596,1.058816844
0.007298355,0.349667895
33.18,600
0.01,0.52
0.00722877,0.138083659
34.1,600
0,0.34
1.44,41.81
0.02,1.24
7.56,600
0.01,0.61
0.48,24.52
0,0.08
7.98,180.82
0.01,0.39
25.72,600
0,0.33
34.59,600
0,0.04
0.05,2.3
0,0.21
1.61,139.21
0,0.2
0.42,18.51
0,0.16
6.57,568.59
0.01,0.73
5.81,599.37
0,0.1
0.17,12.16
0,0.07
1.98,117.71
0,0.1
4.55,80.26
0,0.17
4.65,227.87
0.01,0.35
2.01,195.4
0,0.14
0.39,19.8
0.03,2.02
0.094918083,6.157412351
26.93,600
0.03,1.28
12.79,600
0,0.16
0.33,14.83
0.01,0.68
5.33,600
0.02,1.29
2.58,81.64
0.01,0.52
11.4,600
0.02,0.62
7.44,249.49
0.01,0.05
0.03,1.37
0,0.1
15.31,463.6
0,0.08
7.97,134.37
0,0.25
4.68,544.43
0,0.05
2.16,47.86
0,0.04
1.83,43.5
0.01,0.44
12.54,600
0,0.1
0.34,13.13
0,0.05
0.24,16.81
0,0.17
11.48,600
0.01,0.1
0.42,15.98
0,0.08
1.01,30.29
0.02,1.25
0.028470871,1.813966479
7.7,600
0.01,0.68
1.36,98.21
0.02,0.59
15.02,600
0,0.13
1.25,149.43
0.02,0.95
5.63,502.52
0,0.17
5.02,256.8
0,0.03
6.16,125.87
0,0.22
2.12,600
0.03,2.2
0.008712133,0.04762675
0.012825288,0.588192538
0.053730031,4.556576191
0.011733403,0.31548191
82.1,600
0,0.38
7.5,600
0.02,0.32
1.55,46.86
0.01,0.31
0.43,17.57
0,0.07
0.34,20.15
0.02,1.14
5.93,305.95
0.04,2.38
19.66,600
0,0.32
0.62,36.56
0,0.08
0.21,8.26
0,0.32
0.043415667,2.675052484
0.005031698,0.06980561
36.59,600
0,0.03
0.44,9.79
0,0.08
173.45,600
0,0.07
0.08,2.75
0.01,1.19
129.22,600
0,0.03
0.01,0.45
0.01,0.89
6.75,600
0,0.07
0.6,47.09
0,0.15
1.4,82.26
0,0.27
2.49,55.53
0,0.15
0.43,24.19
0.01,0.88
0.009074648,0.229207641
22.17,600
0,0.43
14.91,600
0,0.1
0.71,22.44
0.01,0.45
4.84,236.41
0,0.29
2.97,219.77
0,0.19
0.13,4.46
0.02,1.36
1.04,71
0,0.32
3.8,241.77
0,0.1
135.63,600
0.62,54.5
0.6,35.21
1.15,159.71
0.27,16.2
2.33,183.65
0.64,40.48
1.06,68.27
0.44,15.64
0.54,55.26
0.38,15.5
0.52,28.74
1.04,51.57
0.9,47.77
0.68,56.24
0.64,44.65
0.004089563,0.088610351
2.16,166.99
1.39,83.24
1.03,138.06
0.81,80.21
1.51,108.44
0.39,15.29
0.34,13.18
0.41,13.35
0.27,12.37
0.7,61.76
1.22,89.04
0.72,44.34
0.58,51.85
0.79,69.37
0.33,8.42
0.92,72.57
2.09,310.58
2.03,319.81
2.1,285.95
0.57,47.03
0.46,22.21
0.38,17.83
0.36,11.85
0.32,13.68
1.58,236.58
2.02,330.67
0.3,9.13
0.32,14.16
0.65,36.4
0.29,14.09
0.45,16.04
0.53,19.58
0.57,32.98
0.63,39.5
0.43,19.21
0.93,53
1.23,93.37
0.83,78.42
0.67,53.04
0.66,47.08
1.34,247.9
0.51,21.56
0.39,14.03
0.88,86.81
1.17,113.51
0.99,159.07
0.28,10.9
0.89,55.3
0.57,46.8
1.01,81.66
0.33,14.55
1.15,52.71
0.51,17.1
0.27,7.33
2.15,496.48
0.36,14.17
1.38,138.16
0.53,56.58
0.51,25.52
1.65,268.67
0.33,13.44
0.53,26.06
1.27,233.6
3.96,600
2.81,257.47
1.64,189.14
2.16,349.21
1.86,195.05
0.34,11.74
1.13,214.84
0.42,25.34
1.97,170.73
0.43,19.55
