t1,t2
0.005142166,0.006987064
0.007112922,0.013237856
0.015563598,0.047432315
0.014232546,0.039072046
0.041322093,0.148410847
0.011137201,0.036686221
0.027647754,0.085664812
0.008933469,0.019381463
0.006856965,0.017527263
0.01414024,0.027387916
0.008001664,0.016850207
0.018452038,0.030112985
0.003746659,0.006268465
0.023705931,0.09660757
0.00910224,0.023296034
0.033176967,0.093886402
0.012047664,0.017926482
0.086547074,0.300573795
0.027956416,0.084531664
0.012486845,0.026691839
0.00721606,0.007627618
0.009657149,0.008030376
0.011900605,0.039833409
0.010435823,0.027345764
0.003785912,0.005561925
0.016758601,0.034555273
0.010042436,0.02700959
0.01010525,0.031729667
0.004375883,0.006347829
0,0.02
0.024057575,0.076505688
164.31,600
0.04,0.09
1.53,15.42
0,0
0.14,0.82
0,0
0.57,2.83
0,0
1.3,9.76
0.03264062,0.104894524
0,0
1.08,9.11
0.01,0.01
3.56,99.63
0,0
2.44,44.48
0.01,0.04
1.73,13.34
0,0
3.52,74.56
0.01,0.01
4.03,70.77
0.01948638,0.043602079
0,0
15.17,600
0.01,0.01
0.009349618,0.026414299
0.031941122,0.098052531
0.004142267,0.005624629
0.024733032,0.064943067
15.58,600
0,0.02
0.19,0.75
0,0.01
4.04,53.05
0,0.01
0.26,0.9
0.02,0.04
3.82,43.51
0.02,0.06
0.025533908,0.094082885
0.019969763,0.076161374
0.003834285,0.004230824
0.00649526,0.007702803
0.010750855,0.041099786
0.013658777,0.021167336
0.036654409,0.109128057
0.008969651,0.026154601
0.02554564,0.089417472
0.004462979,0.006410794
0.006573005,0.007343749
0.004607168,0.011675308
0.008176977,0.013038103
0.008464386,0.014519666
0.005890587,0.004739499
0.019982253,0.081441699
0.008928258,0.021240951
0.01805054,0.050455144
0.005228382,0.017811213
0.04837982,0.163929792
0.021045547,0.070589218
0.010049205,0.025456603
0.008197418,0.004631241
0.003387594,0.004789922
0.011896644,0.032047859
0.01169196,0.014522726
0.008340898,0.006278305
0.00461849,0.006343189
0.00735604,0.020760248
0.01011332,0.013314272
0.004226743,0.00692719
0.016427907,0.043604819
0.023226188,0.080198384
0.010662918,0.029378804
0.005796952,0.013270039
0.015516534,0.049055057
0.003779022,0.008590626
0.018127576,0.058094523
0.011903024,0.024508517
0.012686978,0.043158509
0.051138571,0.156298153
0.012191434,0.020051228
0.005259545,0.012047604
0.0180623,0.06685026
0.011353696,0.028578379
0.005117605,0.010913545
0.104604453,0.350607377
0.039992049,0.189959674
0.007275003,0.013970638
0.015835237,0.045179388
0.141493349,0.58978591
0.009707582,0.036343466
0.054894991,0.207332696
0.008903567,0.019877566
0.017169539,0.042671805
0.02469429,0.07581868
0.025831339,0.077047285
0.036338396,0.065241978
0.028505284,0.075554112
0.008409222,0.008060528
0.005037538,0.006364831
0.006821623,0.020828072
0.033166876,0.053775664
0.006916639,0.014914073
0.006452417,0.013921445
0.024913535,0.105817288
0.051145902,0.183398799
0.015183811,0.046922549
0.040689767,0.184995199
0.049439483,0.122786342
0.108005219,0.4055336
0.005088972,0.007822291
0.027912243,0.081520265
0.007441075,0.021076999
0.03999614,0.135519384
0.008009405,0.018700565
0.193854974,0.681982401
0.037432082,0.206282394
0.007454226,0.01978957
0.005158437,0.010419611
0.005604208,0.009861983
0.01819413,0.047682662
0.0801353,0.329357655
0.051366946,0.148974665
0.035685501,0.132802315
0.006387843,0.015382265
77.32,600
0.01,0.06
15.99,183.07
0.01,0.02
0.003980396,0.006116293
0.01790596,0.052206045
0.007298355,0.022277653
33.18,600
0.01,0.02
0.00722877,0.008345678
34.1,600
0,0.02
1.44,17.03
0.02,0.07
7.56,103.42
0.01,0.03
0.48,2.86
0,0.01
7.98,245.16
0.01,0.03
25.72,600
0,0.01
34.59,600
0,0
0.05,0.26
0,0.01
1.61,10.98
0,0.02
0.42,2.87
0,0
6.57,311.87
0.01,0.03
5.81,115.09
0,0
0.17,0.52
0,0
1.98,34.63
0,0
4.55,82.37
0,0.01
4.65,81.04
0.01,0.02
2.01,16.01
0,0.01
0.39,1.68
0.03,0.06
0.094918083,0.334959382
26.93,600
0.03,0.04
12.79,172.95
0,0
0.33,1.48
0.01,0.03
5.33,72.07
0.02,0.05
2.58,35.57
0.01,0.02
11.4,379.07
0.02,0.03
7.44,159.45
0.01,0
0.03,0.07
0,0
15.31,483.33
0,0
7.97,231.93
0,0.01
4.68,66.69
0,0
2.16,18.83
0,0
1.83,22.87
0.01,0.01
12.54,203.07
0,0
0.34,1.87
0,0
0.24,1.86
0,0.01
11.48,373.92
0.01,0.01
0.42,2.36
0,0
1.01,7.74
0.02,0.05
0.028470871,0.093758552
7.7,126.84
0.01,0.03
1.36,5.98
0.02,0.02
15.02,280.44
0,0.01
1.25,11.22
0.02,0.03
5.63,600
0,0
5.02,87.12
0,0.01
6.16,251.87
0,0.01
2.12,35.7
0.03,0.11
0.008712133,0.009918136
0.012825288,0.032919259
0.053730031,0.233801478
0.011733403,0.028961925
82.1,600
0,0.02
7.5,130.88
0.02,0.01
1.55,15.7
0.01,0.01
0.43,2.23
0,0
0.34,1.65
0.02,0.07
5.93,128.65
0.04,0.11
19.66,600
0,0.02
0.62,2.87
0,0
0.21,0.68
0,0.01
0.043415667,0.164068951
0.005031698,0.009855722
36.59,600
0,0
0.44,2.18
0,0
173.45,600
0,0
0.08,0.22
0.01,0.05
129.22,600
0,0.01
0.01,0.02
0.01,0.04
6.75,79.39
0,0.01
0.6,3.08
0,0
1.4,13.04
0,0.02
2.49,30.8
0,0.01
0.43,1.51
0.01,0.03
0.009074648,0.015705488
22.17,600
0,0.03
14.91,600
0,0
0.71,4.28
0.01,0.02
4.84,53.64
0,0.02
2.97,27.22
0,0.01
0.13,0.38
0.02,0.05
1.04,4.8
0,0.02
3.8,94.72
0,0
135.63,600
0.62,5.34
0.6,3.16
1.15,5.96
0.27,2.94
2.33,10.38
0.64,600
1.06,4.95
0.44,1.97
0.54,4.07
0.38,1.84
0.52,3.68
1.04,4.4
0.9,4.19
0.68,3.51
0.64,3.7
0.004089563,0.009737174
2.16,9.12
1.39,5.84
1.03,8.77
0.81,5.8
1.51,6.83
0.39,1.86
0.34,1.78
0.41,1.92
0.27,1.73
0.7,5.18
1.22,5.85
0.72,3.75
0.58,4.63
0.79,4.63
0.33,1.26
0.92,4.95
2.09,11.05
2.03,11.8
2.1,10.55
0.57,3.72
0.46,2.61
0.38,2.34
0.36,1.47
0.32,1.68
1.58,8.93
2.02,12.76
0.3,1.23
0.32,1.69
0.65,3.51
0.29,3.23
0.45,2.02
0.53,2.38
0.57,3.1
0.63,3.84
0.43,2.2
0.93,3.94
1.23,6.01
0.83,4.9
0.67,4.16
0.66,2.82
1.34,9.68
0.51,2.12
0.39,1.83
0.88,4.85
1.17,6.64
0.99,5.44
0.28,1.7
0.89,4.59
0.57,4.12
1.01,5.33
0.33,1.86
1.15,4.68
0.51,2.16
0.27,1.08
2.15,9.25
