aligner,instance,time,ram,sp,tc
kalign2,benchmarks/balibase/RV11/BB11001.tfa,0.004650402,1968,0.886,0.84
kalign,benchmarks/balibase/RV11/BB11001.tfa,0.005142166,4200,0.961,0.93
muscle,benchmarks/balibase/RV11/BB11001.tfa,0.006987064,3376,0.928,0.89
kalign,benchmarks/balibase/RV11/BB11002.tfa,0.007112922,4180,0.335,0
kalign2,benchmarks/balibase/RV11/BB11002.tfa,0.00678355,1960,0.723,0.42
muscle,benchmarks/balibase/RV11/BB11002.tfa,0.013237856,3988,0.548,0.27
clustalo,benchmarks/balibase/RV11/BB11001.tfa,0.043379434,3260,0.888,0.82
kalign2,benchmarks/balibase/RV11/BB11003.tfa,0.015485243,2064,0.635,0.45
kalign,benchmarks/balibase/RV11/BB11003.tfa,0.015563598,4448,0.55,0.4
kalign2,benchmarks/balibase/RV11/BB11004.tfa,0.011035044,2080,0.56,0.43
muscle,benchmarks/balibase/RV11/BB11003.tfa,0.047432315,5392,0.522,0.35
kalign,benchmarks/balibase/RV11/BB11004.tfa,0.014232546,4300,0.274,0.16
kalign2,benchmarks/balibase/RV11/BB11005.tfa,0.03464996,2240,0.353,0.06
muscle,benchmarks/balibase/RV11/BB11004.tfa,0.039072046,5104,0.435,0.29
kalign,benchmarks/balibase/RV11/BB11005.tfa,0.041322093,5096,0.323,0.06
kalign2,benchmarks/balibase/RV11/BB11006.tfa,0.010610604,1908,0.291,0
kalign,benchmarks/balibase/RV11/BB11006.tfa,0.011137201,4476,0.33,0.04
kalign2,benchmarks/balibase/RV11/BB11007.tfa,0.027940855,2120,0.549,0.36
kalign,benchmarks/balibase/RV11/BB11007.tfa,0.027647754,4700,0.531,0.28
kalign2,benchmarks/balibase/RV11/BB11008.tfa,0.00664439,2064,0.511,0.37
kalign,benchmarks/balibase/RV11/BB11008.tfa,0.008933469,4132,0.413,0.31
kalign2,benchmarks/balibase/RV11/BB11009.tfa,0.003639403,1948,0.632,0.51
kalign,benchmarks/balibase/RV11/BB11009.tfa,0.006856965,4232,0.733,0.65
kalign2,benchmarks/balibase/RV11/BB11010.tfa,0.012933715,2040,0.309,0.16
kalign,benchmarks/balibase/RV11/BB11010.tfa,0.01414024,4296,0.302,0.16
kalign2,benchmarks/balibase/RV11/BB11011.tfa,0.006453657,1896,0.302,0.17
muscle,benchmarks/balibase/RV11/BB11005.tfa,0.148410847,7936,0.333,0.04
kalign,benchmarks/balibase/RV11/BB11011.tfa,0.008001664,4488,0.249,0.14
kalign2,benchmarks/balibase/RV11/BB11012.tfa,0.008526531,1964,0.913,0.85
kalign2,benchmarks/balibase/RV11/BB11013.tfa,0.003561236,1896,0.337,0
kalign,benchmarks/balibase/RV11/BB11012.tfa,0.018452038,4200,0.859,0.8
muscle,benchmarks/balibase/RV11/BB11006.tfa,0.036686221,5096,0.258,0.07
clustalo,benchmarks/balibase/RV11/BB11002.tfa,0.308994468,7448,0.426,0
kalign,benchmarks/balibase/RV11/BB11013.tfa,0.003746659,4132,0.02,0
kalign2,benchmarks/balibase/RV11/BB11014.tfa,0.021221849,2340,0.675,0.45
kalign,benchmarks/balibase/RV11/BB11014.tfa,0.023705931,4800,0.669,0.45
kalign2,benchmarks/balibase/RV11/BB11015.tfa,0.008443655,1944,0.602,0.46
kalign,benchmarks/balibase/RV11/BB11015.tfa,0.00910224,4288,0.737,0.63
kalign2,benchmarks/balibase/RV11/BB11016.tfa,0.028317221,2300,0.528,0.25
muscle,benchmarks/balibase/RV11/BB11007.tfa,0.085664812,6616,0.569,0.34
