aligner,instance,time,ram,SP,TC
kalign,benchmarks/HomFam/Acetyltransf_ref.tfa,0.0,0.0,0.593,0.370
muscle,benchmarks/HomFam/Acetyltransf_ref.tfa,0.01,0.01,0.516,0.340
clustalo,benchmarks/HomFam/Acetyltransf_ref.tfa,0.16,0.16,0.592,0.390
kalign,benchmarks/HomFam/Acetyltransf_test-only.tfa,140.76,140.76,-1,-1
kalign,benchmarks/HomFam/Ald_Xan_dh_2_ref.tfa,0.04,0.04,0.854,0.780
kalign,benchmarks/HomFam/Ald_Xan_dh_2_test-only.tfa,1.58,1.58,-1,-1
kalign,benchmarks/HomFam/ChtBD_ref.tfa,0.0,0.0,0.990,0.970
kalign,benchmarks/HomFam/ChtBD_test-only.tfa,0.14,0.14,-1,-1
kalign,benchmarks/HomFam/DEATH_ref.tfa,0.0,0.0,0.603,0.090
kalign,benchmarks/HomFam/DEATH_test-only.tfa,0.59,0.59,-1,-1
kalign,benchmarks/HomFam/DMRL_synthase_ref.tfa,0.0,0.0,0.884,0.800
kalign,benchmarks/HomFam/DMRL_synthase_test-only.tfa,1.36,1.36,-1,-1
kalign,benchmarks/HomFam/GEL_ref.tfa,0.0,0.0,0.743,0.600
kalign,benchmarks/HomFam/GEL_test-only.tfa,1.1,1.1,-1,-1
kalign,benchmarks/HomFam/HLH_ref.tfa,0.0,0.0,0.846,0.800
kalign,benchmarks/HomFam/HLH_test-only.tfa,3.7,3.7,-1,-1
kalign,benchmarks/HomFam/HMG_box_ref.tfa,0.0,0.0,0.968,0.930
kalign,benchmarks/HomFam/HMG_box_test-only.tfa,2.65,2.65,-1,-1
kalign,benchmarks/HomFam/KAS_ref.tfa,0.01,0.01,0.813,0.750
kalign,benchmarks/HomFam/KAS_test-only.tfa,2.02,2.02,-1,-1
kalign,benchmarks/HomFam/LIM_ref.tfa,0.0,0.0,1.000,1.000
kalign,benchmarks/HomFam/LIM_test-only.tfa,4.04,4.04,-1,-1
kalign,benchmarks/HomFam/OTCace_ref.tfa,0.0,0.0,0.890,0.830
kalign,benchmarks/HomFam/OTCace_test-only.tfa,4.31,4.31,-1,-1
kalign,benchmarks/HomFam/PDZ_ref.tfa,0.0,0.0,0.853,0.760
kalign,benchmarks/HomFam/PDZ_test-only.tfa,15.58,15.58,-1,-1
kalign,benchmarks/HomFam/Rhodanese_ref.tfa,0.01,0.01,0.515,0.240
muscle,benchmarks/HomFam/Acetyltransf_test-only.tfa,-1,-1,-1,-1
clustalo,benchmarks/HomFam/Acetyltransf_test-only.tfa,-1,-1,-1,-1
muscle,benchmarks/HomFam/Ald_Xan_dh_2_ref.tfa,0.08,0.08,0.811,0.730
clustalo,benchmarks/HomFam/Ald_Xan_dh_2_ref.tfa,2.32,2.32,0.875,0.810
muscle,benchmarks/HomFam/Ald_Xan_dh_2_test-only.tfa,15.33,15.33,-1,-1
muscle,benchmarks/HomFam/ChtBD_ref.tfa,0.0,0.0,-1,-1
muscle,benchmarks/HomFam/ChtBD_test-only.tfa,0.74,0.74,-1,-1
muscle,benchmarks/HomFam/DEATH_ref.tfa,0.0,0.0,0.676,0.390
muscle,benchmarks/HomFam/DEATH_test-only.tfa,2.91,2.91,-1,-1
muscle,benchmarks/HomFam/DMRL_synthase_ref.tfa,0.0,0.0,0.884,0.800
muscle,benchmarks/HomFam/DMRL_synthase_test-only.tfa,10.14,10.14,-1,-1
muscle,benchmarks/HomFam/GEL_ref.tfa,0.01,0.01,0.564,0.240
muscle,benchmarks/HomFam/GEL_test-only.tfa,9.08,9.08,-1,-1
muscle,benchmarks/HomFam/HLH_ref.tfa,0.01,0.01,0.902,0.870
clustalo,benchmarks/HomFam/Ald_Xan_dh_2_test-only.tfa,62.0,62.0,0.306,0.000
clustalo,benchmarks/HomFam/ChtBD_ref.tfa,0.03,0.03,-1,-1
clustalo,benchmarks/HomFam/ChtBD_test-only.tfa,5.35,5.35,0.266,0.000
clustalo,benchmarks/HomFam/DEATH_ref.tfa,0.11,0.11,0.712,0.510
clustalo,benchmarks/HomFam/DEATH_test-only.tfa,27.23,27.23,0.129,0.000
clustalo,benchmarks/HomFam/DMRL_synthase_ref.tfa,0.11,0.11,0.953,0.900
clustalo,benchmarks/HomFam/DMRL_synthase_test-only.tfa,49.96,49.96,0.398,0.000
clustalo,benchmarks/HomFam/GEL_ref.tfa,0.08,0.08,0.687,0.530
muscle,benchmarks/HomFam/HLH_test-only.tfa,100.46,100.46,-1,-1
muscle,benchmarks/HomFam/HMG_box_ref.tfa,0.0,0.0,0.965,0.920
clustalo,benchmarks/HomFam/GEL_test-only.tfa,37.04,37.04,0.198,0.000
clustalo,benchmarks/HomFam/HLH_ref.tfa,0.04,0.04,0.933,0.870
kalign,benchmarks/HomFam/Rhodanese_test-only.tfa,16.55,16.55,-1,-1
kalign,benchmarks/HomFam/Stap_Strp_toxin_ref.tfa,0.0,0.0,0.708,0.380
kalign,benchmarks/HomFam/Stap_Strp_toxin_test-only.tfa,0.2,0.2,-1,-1
kalign,benchmarks/HomFam/Sulfotransfer_ref.tfa,0.0,0.0,0.714,0.330
muscle,benchmarks/HomFam/HMG_box_test-only.tfa,44.31,44.31,-1,-1
muscle,benchmarks/HomFam/KAS_ref.tfa,0.03,0.03,0.839,0.770
kalign,benchmarks/HomFam/Sulfotransfer_test-only.tfa,4.11,4.11,-1,-1
kalign,benchmarks/HomFam/TNF_ref.tfa,0.01,0.01,0.856,0.740
kalign,benchmarks/HomFam/TNF_test-only.tfa,0.26,0.26,-1,-1
kalign,benchmarks/HomFam/aadh_ref.tfa,0.02,0.02,0.795,0.600
muscle,benchmarks/HomFam/KAS_test-only.tfa,13.79,13.79,-1,-1
muscle,benchmarks/HomFam/LIM_ref.tfa,0.0,0.0,1.000,1.000
kalign,benchmarks/HomFam/aadh_test-only.tfa,3.88,3.88,-1,-1
kalign,benchmarks/HomFam/aat_ref.tfa,0.02,0.02,0.817,0.560
clustalo,benchmarks/HomFam/HLH_test-only.tfa,-1,-1,0.366,0.000
clustalo,benchmarks/HomFam/HMG_box_ref.tfa,0.05,0.05,0.983,0.960
muscle,benchmarks/HomFam/LIM_test-only.tfa,74.18,74.18,-1,-1
muscle,benchmarks/HomFam/OTCace_ref.tfa,0.01,0.01,0.877,0.800
clustalo,benchmarks/HomFam/HMG_box_test-only.tfa,67.11,67.11,0.377,0.000
clustalo,benchmarks/HomFam/KAS_ref.tfa,0.48,0.48,0.842,0.780
muscle,benchmarks/HomFam/OTCace_test-only.tfa,70.22,70.22,-1,-1
muscle,benchmarks/HomFam/PDZ_ref.tfa,0.0,0.0,0.830,0.700
clustalo,benchmarks/HomFam/KAS_test-only.tfa,74.51,74.51,0.165,0.000
clustalo,benchmarks/HomFam/LIM_ref.tfa,0.04,0.04,1.000,1.000
clustalo,benchmarks/HomFam/LIM_test-only.tfa,107.31,107.31,0.294,0.000
clustalo,benchmarks/HomFam/OTCace_ref.tfa,0.39,0.39,0.906,0.880
clustalo,benchmarks/HomFam/OTCace_test-only.tfa,188.56,188.56,0.169,0.000
clustalo,benchmarks/HomFam/PDZ_ref.tfa,0.08,0.08,0.800,0.640
muscle,benchmarks/HomFam/PDZ_test-only.tfa,-1,-1,-1,-1
muscle,benchmarks/HomFam/Rhodanese_ref.tfa,0.0,0.0,0.549,0.300
clustalo,benchmarks/HomFam/PDZ_test-only.tfa,546.57,546.57,-1,-1
clustalo,benchmarks/HomFam/Rhodanese_ref.tfa,0.16,0.16,0.656,0.360
muscle,benchmarks/HomFam/Rhodanese_test-only.tfa,-1,-1,-1,-1
muscle,benchmarks/HomFam/Stap_Strp_toxin_ref.tfa,0.02,0.02,0.760,0.550
muscle,benchmarks/HomFam/Stap_Strp_toxin_test-only.tfa,0.71,0.71,-1,-1
muscle,benchmarks/HomFam/Sulfotransfer_ref.tfa,0.02,0.02,0.750,0.440
muscle,benchmarks/HomFam/Sulfotransfer_test-only.tfa,51.98,51.98,-1,-1
muscle,benchmarks/HomFam/TNF_ref.tfa,0.0,0.0,0.803,0.600
muscle,benchmarks/HomFam/TNF_test-only.tfa,0.9,0.9,-1,-1
muscle,benchmarks/HomFam/aadh_ref.tfa,0.04,0.04,0.811,0.660
muscle,benchmarks/HomFam/aadh_test-only.tfa,42.36,42.36,-1,-1
muscle,benchmarks/HomFam/aat_ref.tfa,0.06,0.06,0.791,0.450
clustalo,benchmarks/HomFam/Rhodanese_test-only.tfa,-1,-1,-1,-1
clustalo,benchmarks/HomFam/Stap_Strp_toxin_ref.tfa,0.28,0.28,0.690,0.430
clustalo,benchmarks/HomFam/Stap_Strp_toxin_test-only.tfa,6.24,6.24,0.139,0.000
clustalo,benchmarks/HomFam/Sulfotransfer_ref.tfa,0.34,0.34,0.757,0.480
muscle,benchmarks/HomFam/aat_test-only.tfa,-1,-1,-1,-1
muscle,benchmarks/HomFam/ace_ref.tfa,0.07,0.07,0.774,0.660
muscle,benchmarks/HomFam/ace_test-only.tfa,182.92,182.92,-1,-1
muscle,benchmarks/HomFam/adh_ref.tfa,0.02,0.02,0.987,0.970
clustalo,benchmarks/HomFam/Sulfotransfer_test-only.tfa,-1,-1,-1,-1
clustalo,benchmarks/HomFam/TNF_ref.tfa,0.11,0.11,0.879,0.760
clustalo,benchmarks/HomFam/TNF_test-only.tfa,16.11,16.11,0.151,0.000
clustalo,benchmarks/HomFam/aadh_ref.tfa,1.11,1.11,0.745,0.630
kalign,benchmarks/HomFam/aat_test-only.tfa,77.04,77.04,-1,-1
kalign,benchmarks/HomFam/ace_ref.tfa,0.02,0.02,0.786,0.670
kalign,benchmarks/HomFam/ace_test-only.tfa,16.11,16.11,-1,-1
kalign,benchmarks/HomFam/adh_ref.tfa,0.01,0.01,0.986,0.960
clustalo,benchmarks/HomFam/aadh_test-only.tfa,238.98,238.98,0.232,0.000
clustalo,benchmarks/HomFam/aat_ref.tfa,1.26,1.26,0.816,0.520
muscle,benchmarks/HomFam/adh_test-only.tfa,-1,-1,-1,-1
muscle,benchmarks/HomFam/aldosered_ref.tfa,0.02,0.02,0.926,0.760
clustalo,benchmarks/HomFam/aat_test-only.tfa,-1,-1,-1,-1
clustalo,benchmarks/HomFam/ace_ref.tfa,1.13,1.13,0.803,0.690
kalign,benchmarks/HomFam/adh_test-only.tfa,33.57,33.57,-1,-1
kalign,benchmarks/HomFam/aldosered_ref.tfa,0.01,0.01,0.933,0.780
muscle,benchmarks/HomFam/aldosered_test-only.tfa,-1,-1,-1,-1
muscle,benchmarks/HomFam/annexin_ref.tfa,0.02,0.02,1.000,1.000
muscle,benchmarks/HomFam/annexin_test-only.tfa,16.66,16.66,-1,-1
muscle,benchmarks/HomFam/asp_ref.tfa,0.06,0.06,0.856,0.690
muscle,benchmarks/HomFam/asp_test-only.tfa,103.99,103.99,-1,-1
muscle,benchmarks/HomFam/az_ref.tfa,0.02,0.02,0.630,0.360
muscle,benchmarks/HomFam/az_test-only.tfa,2.87,2.87,-1,-1
muscle,benchmarks/HomFam/biotin_lipoyl_ref.tfa,0.01,0.01,0.834,0.690
clustalo,benchmarks/HomFam/ace_test-only.tfa,-1,-1,-1,-1
clustalo,benchmarks/HomFam/adh_ref.tfa,0.38,0.38,0.993,0.980
muscle,benchmarks/HomFam/biotin_lipoyl_test-only.tfa,238.69,238.69,-1,-1
muscle,benchmarks/HomFam/blm_ref.tfa,0.03,0.03,0.949,0.860
kalign,benchmarks/HomFam/aldosered_test-only.tfa,33.61,33.61,-1,-1
kalign,benchmarks/HomFam/annexin_ref.tfa,0.0,0.0,1.000,1.000
kalign,benchmarks/HomFam/annexin_test-only.tfa,1.51,1.51,-1,-1
kalign,benchmarks/HomFam/asp_ref.tfa,0.02,0.02,0.853,0.670
